"Satisfaction","Gender","Ages","Customer_Type","Class","Inflight_wifi_service","Departure_Arrival_time_convenient","Ease_of_Online_booking","Gate_location","Food_and_drink","Online_boarding","Seat_comfort","Inflight_entertainment","On_board_service","Leg_room_service","Baggage_handling","Checkin_service","Inflight_service","Cleanliness","Departure_Delay_in_Minutes","Arrival_Delay_in_Minutes"
"No","Male","[40, 49)","L","Business",3,3,3,3,3,3,2,3,3,3,3,2,3,1,0,0
"Yes","Female","[40, 49)","L","Eco Plus",5,1,1,1,4,5,5,5,5,5,5,5,5,3,9,0
"Yes","Female","[40, 49)","L","Business",3,1,3,3,2,2,4,4,4,4,4,4,4,3,0,0
"No","Male","[40, 49)","L","Eco",2,3,2,3,1,2,4,1,5,3,5,2,2,1,23,17
"Yes","Male","[40, 49)","L","Business",3,3,3,3,5,5,5,4,4,4,4,5,4,4,30,41
"No","Female","[40, 49)","L","Eco",1,5,5,5,2,4,4,1,1,1,1,2,1,3,0,16
"Yes","Male","[40, 49)","L","Business",5,1,5,5,3,3,3,5,4,4,5,3,5,3,0,0
"Yes","Female","[40, 49)","L","Business",2,2,2,2,5,5,4,4,4,4,4,3,4,4,7,0
"Yes","Female","[40, 49)","L","Eco",4,5,5,5,1,5,4,4,4,4,4,2,4,1,0,0
"Yes","Male","[40, 49)","L","Business",1,1,1,1,3,5,4,4,4,4,4,3,4,5,0,5
"Yes","Female","[40, 49)","L","Business",0,0,0,1,3,1,3,3,3,3,3,3,3,1,0,0
"Yes","Female","[40, 49)","L","Business",5,5,5,5,4,4,4,3,3,4,4,3,3,4,14,22
"No","Female","[40, 49)","L","Eco",2,3,2,2,4,1,3,5,5,2,5,1,5,4,0,0
"Yes","Female","[40, 49)","L","Business",3,3,3,3,5,3,1,5,5,5,5,2,5,3,0,0
"No","Male","[40, 49)","L","Business",3,4,4,4,1,4,4,3,3,3,3,2,3,2,0,0
"Yes","Female","[40, 49)","L","Business",5,5,3,5,5,4,5,5,5,5,5,3,5,5,8,57
"Yes","Female","[40, 49)","L","Business",4,4,4,4,5,4,5,4,4,4,4,3,4,5,0,25
"No","Male","[40, 49)","L","Eco",1,5,1,4,5,1,5,5,2,5,3,4,3,5,0,5
"Yes","Female","[40, 49)","L","Business",3,3,3,3,3,4,4,2,2,2,2,3,2,5,20,6
"No","Male","[40, 49)","L","Business",2,1,1,1,3,2,3,2,2,2,2,1,2,4,3,7
"No","Male","[40, 49)","L","Eco",4,2,4,3,4,4,4,1,1,1,3,4,1,4,98,74
"Yes","Female","[40, 49)","L","Eco",4,4,4,4,5,4,1,5,1,2,4,5,5,5,9,0
"Yes","Male","[40, 49)","L","Business",1,1,1,1,3,5,5,4,4,4,4,4,4,5,25,25
"No","Male","[40, 49)","L","Business",1,1,1,1,2,4,4,1,1,1,1,4,1,1,17,5
"No","Male","[40, 49)","L","Eco",2,4,2,3,1,2,1,1,2,2,4,3,3,1,124,129
"No","Female","[40, 49)","L","Eco",2,3,3,3,1,4,3,3,3,2,3,1,3,3,22,8
"Yes","Female","[40, 49)","L","Business",2,2,2,2,2,4,4,5,5,5,5,5,5,4,4,0
"No","Female","[40, 49)","NL","Business",3,3,3,3,3,3,3,4,3,4,5,3,4,3,131,125
"No","Male","[40, 49)","L","Business",3,5,2,5,2,3,3,3,3,3,3,4,3,2,53,35
"Yes","Female","[40, 49)","L","Business",3,3,3,3,5,5,4,4,4,4,5,5,4,3,6,9
"No","Female","[40, 49)","L","Business",2,1,1,1,5,3,4,2,2,2,2,2,2,2,22,10
"No","Male","[40, 49)","L","Business",2,5,2,3,4,3,2,1,1,2,2,3,1,4,0,0
"No","Female","[40, 49)","L","Eco Plus",3,4,3,4,3,3,4,2,2,3,2,3,2,3,0,0
"No","Male","[40, 49)","L","Eco",3,4,0,4,3,0,3,3,2,2,4,1,4,3,0,0
"Yes","Male","[40, 49)","L","Eco",5,2,2,2,5,5,5,5,1,5,5,1,3,5,0,0
"Yes","Female","[40, 49)","L","Business",1,1,1,1,3,5,5,2,2,2,2,5,2,4,0,0
"Yes","Male","[40, 49)","L","Business",5,5,5,5,5,5,5,5,5,5,5,5,3,5,150,128
"Yes","Male","[40, 49)","L","Business",3,3,3,3,4,4,5,4,4,4,4,5,4,4,0,1
"Yes","Female","[40, 49)","L","Business",4,4,4,4,2,5,4,3,3,4,3,5,3,5,74,74
"Yes","Female","[40, 49)","L","Business",5,5,5,5,4,4,5,5,5,5,5,5,5,5,0,0
"No","Female","[40, 49)","L","Eco",2,2,2,3,5,3,4,2,2,2,2,3,2,4,0,0
"Yes","Female","[40, 49)","L","Eco Plus",4,3,3,3,5,2,2,4,4,4,4,3,4,3,12,36
"Yes","Female","[40, 49)","L","Business",4,4,4,4,4,4,4,3,4,4,4,4,3,4,46,108
"Yes","Male","[40, 49)","L","Business",4,4,4,4,2,5,4,4,4,4,4,4,4,5,9,0
"Yes","Female","[40, 49)","NL","Business",4,4,4,4,2,4,2,2,4,2,5,4,5,2,3,0
"Yes","Female","[40, 49)","L","Business",5,5,5,5,2,5,5,4,4,4,4,3,4,3,0,0
"Yes","Female","[40, 49)","L","Eco",5,4,5,3,5,4,1,4,4,4,4,4,4,5,0,0
"Yes","Female","[40, 49)","L","Business",1,1,1,1,2,5,5,4,4,4,4,4,4,4,7,20
"Yes","Male","[40, 49)","L","Business",4,4,4,4,5,5,4,4,4,4,4,4,4,4,0,0
"No","Male","[40, 49)","L","Eco",2,3,3,3,2,2,2,2,4,4,4,3,3,2,0,0
"Yes","Female","[40, 49)","L","Business",3,3,3,3,5,5,4,4,4,4,4,4,4,3,3,16
"Yes","Male","[40, 49)","L","Business",1,1,1,1,3,4,4,5,5,5,5,3,5,3,0,0
"No","Male","[40, 49)","L","Business",1,2,1,3,2,3,3,3,3,1,4,4,3,2,0,0
"No","Female","[40, 49)","L","Business",2,2,3,2,3,3,3,2,2,2,2,4,2,1,0,7
"Yes","Female","[40, 49)","L","Business",3,3,2,3,2,5,4,2,2,2,2,3,2,5,18,14
"Yes","Female","[40, 49)","L","Business",2,2,2,2,5,5,4,4,4,4,4,5,4,4,13,7
"Yes","Male","[40, 49)","L","Business",2,2,2,2,2,5,4,4,4,4,4,3,4,4,28,22
"No","Male","[40, 49)","L","Eco",2,3,3,3,2,2,2,2,2,3,4,1,3,2,0,0
"No","Male","[40, 49)","L","Eco",4,4,3,2,1,3,1,1,3,2,4,5,5,1,0,0
"Yes","Female","[40, 49)","L","Eco",5,1,5,3,3,3,3,4,4,5,4,1,4,2,0,2
"Yes","Female","[40, 49)","L","Business",2,2,2,2,2,5,5,4,4,4,4,5,4,3,0,0
"Yes","Female","[40, 49)","L","Business",4,4,4,4,4,4,5,2,2,2,2,3,2,3,0,2
"Yes","Female","[40, 49)","NL","Business",5,5,5,3,4,5,4,4,3,4,4,3,4,4,5,0
"Yes","Female","[40, 49)","L","Business",5,5,5,5,4,4,5,4,4,4,4,5,4,5,0,0
"Yes","Female","[40, 49)","L","Eco",4,5,5,5,2,5,1,4,4,4,4,5,4,1,0,0
"No","Male","[40, 49)","L","Eco",3,3,3,3,3,3,3,3,1,1,2,3,2,3,29,28
"Yes","Female","[40, 49)","L","Business",3,3,3,3,2,4,4,4,4,4,4,4,4,4,50,38
"Yes","Female","[40, 49)","L","Eco",5,4,4,4,2,1,3,5,5,5,5,3,5,3,117,100
"Yes","Female","[40, 49)","L","Business",2,2,2,2,5,5,5,4,4,4,4,5,4,4,0,0
"Yes","Male","[40, 49)","L","Eco Plus",4,5,4,5,4,4,4,4,4,4,5,5,1,4,0,0
"No","Female","[40, 49)","L","Eco",2,4,4,4,5,4,3,2,2,2,2,4,2,2,0,6
"Yes","Female","[40, 49)","L","Business",1,1,1,1,2,5,4,4,4,4,4,4,4,5,1,0
"Yes","Female","[40, 49)","L","Business",1,1,1,1,3,4,4,5,5,5,5,4,5,4,0,13
"Yes","Male","[40, 49)","L","Business",4,5,4,4,4,2,3,4,4,4,4,2,4,1,0,0
"No","Female","[40, 49)","NL","Eco",1,1,1,3,1,1,1,1,4,2,3,2,3,1,53,13
"No","Female","[40, 49)","NL","Eco",2,0,2,1,3,2,3,3,2,5,1,1,1,3,0,1
"Yes","Female","[40, 49)","L","Business",4,4,4,4,5,4,5,5,5,4,5,3,5,3,0,0
"No","Female","[40, 49)","L","Eco",2,1,2,4,1,3,3,4,4,2,4,2,4,1,72,67
"Yes","Male","[40, 49)","L","Eco",0,4,0,3,4,0,4,4,4,5,4,5,5,4,0,0
"No","Female","[40, 49)","NL","Eco Plus",2,2,2,3,4,2,4,4,3,5,3,4,4,4,10,0
"Yes","Male","[40, 49)","NL","Business",4,3,3,2,2,4,2,2,5,4,5,5,4,2,0,5
"Yes","Male","[40, 49)","L","Business",4,4,5,4,2,4,5,4,4,5,4,5,4,4,0,12
"No","Male","[40, 49)","L","Eco",2,4,4,4,2,2,2,2,3,5,3,2,3,2,0,22
"No","Female","[40, 49)","L","Eco",3,4,3,4,2,3,2,2,2,2,4,5,5,2,31,10
"Yes","Male","[40, 49)","L","Business",5,5,5,5,2,5,5,5,5,4,5,3,5,4,0,0
"Yes","Male","[40, 49)","L","Business",2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,10
"Yes","Female","[40, 49)","L","Business",3,3,3,3,2,4,4,4,4,4,4,3,4,4,0,6
"Yes","Male","[40, 49)","L","Business",2,2,2,2,4,4,5,5,5,5,5,4,5,5,18,7
"Yes","Male","[40, 49)","L","Business",2,2,2,2,2,5,5,3,3,3,3,5,3,4,0,0
"Yes","Female","[40, 49)","L","Business",1,1,1,1,4,4,5,5,5,5,5,4,5,3,21,19
"No","Female","[40, 49)","NL","Eco",3,2,3,4,1,3,1,1,2,2,4,4,3,1,0,0
"Yes","Male","[40, 49)","L","Business",1,1,1,1,2,4,4,4,4,4,4,4,4,5,0,0
"Yes","Female","[40, 49)","L","Eco",5,2,5,3,3,5,3,3,4,4,3,1,3,3,0,0
"No","Male","[40, 49)","L","Eco",3,4,4,4,3,3,3,3,4,1,4,3,4,3,0,24
"Yes","Female","[40, 49)","L","Business",3,3,3,3,3,5,4,5,5,5,5,4,5,4,0,0
"No","Male","[40, 49)","L","Eco",3,5,2,1,4,2,1,4,5,5,5,3,4,4,0,0
"No","Female","[40, 49)","NL","Eco",3,4,3,4,4,3,4,4,4,5,4,1,4,4,0,0
"No","Male","[40, 49)","L","Business",1,4,3,4,3,4,3,1,1,2,1,4,1,1,14,15
"Yes","Male","[40, 49)","L","Business",1,3,1,1,5,5,4,5,5,5,4,4,5,4,0,0
"Yes","Male","[40, 49)","L","Business",3,3,3,3,5,4,5,5,5,5,5,4,5,3,0,0
"Yes","Male","[40, 49)","L","Business",0,0,0,2,2,3,1,1,1,1,3,5,1,5,0,0
"No","Female","[40, 49)","NL","Business",2,2,2,3,1,2,1,1,4,3,5,3,4,1,6,4
"Yes","Female","[40, 49)","L","Business",4,4,3,4,4,5,5,4,4,4,4,3,4,3,0,0
"Yes","Male","[40, 49)","L","Business",3,3,3,3,3,4,4,4,4,4,4,5,4,3,0,0
"Yes","Female","[40, 49)","L","Business",1,1,1,1,5,4,4,4,4,4,4,5,4,5,0,0
"No","Female","[40, 49)","L","Business",2,4,4,4,3,2,2,2,2,2,2,3,2,2,0,0
"Yes","Female","[40, 49)","L","Business",5,5,5,5,2,5,4,5,5,5,5,3,5,4,0,0
"Yes","Female","[40, 49)","L","Business",1,1,1,1,5,5,5,5,5,5,5,5,5,3,0,0
"No","Male","[40, 49)","L","Eco",2,4,2,2,3,2,3,3,3,2,5,5,5,3,0,0
"Yes","Female","[40, 49)","L","Business",0,0,0,1,5,4,4,2,2,2,2,5,2,4,20,26
"Yes","Female","[40, 49)","L","Business",1,1,5,1,2,2,5,4,4,5,4,2,4,2,0,0
"Yes","Male","[40, 49)","L","Eco",0,4,0,2,4,0,4,4,3,3,1,4,2,4,0,0
"Yes","Male","[40, 49)","L","Business",3,1,3,3,4,4,4,4,4,4,4,3,4,4,5,3
"No","Female","[40, 49)","L","Eco",2,3,2,3,1,3,4,2,2,2,2,1,2,4,0,13
"Yes","Female","[40, 49)","L","Business",3,3,5,3,5,5,5,4,4,4,4,5,4,4,0,0
"Yes","Female","[40, 49)","NL","Business",4,4,4,3,3,4,3,3,4,2,5,3,4,3,0,0
"No","Female","[40, 49)","L","Eco",2,3,2,3,5,3,4,3,3,2,3,3,3,2,0,3
"No","Female","[40, 49)","L","Eco",2,4,2,3,2,4,5,2,2,2,2,4,2,4,4,0
"No","Female","[40, 49)","L","Business",3,3,3,3,5,4,3,3,3,3,3,2,3,2,0,0
"Yes","Male","[40, 49)","L","Business",2,2,4,2,3,5,4,4,4,4,4,3,4,3,0,0
"Yes","Male","[40, 49)","L","Eco",4,4,4,4,4,4,4,4,3,5,5,4,5,4,0,0
"Yes","Female","[40, 49)","L","Business",1,1,1,1,3,1,2,4,4,4,4,2,4,3,0,0
"No","Male","[40, 49)","L","Business",3,5,5,5,4,4,3,3,3,3,3,4,3,3,22,33
"Yes","Female","[40, 49)","L","Eco",5,4,5,3,5,5,5,2,2,4,2,3,2,4,0,0
"Yes","Male","[40, 49)","L","Business",2,2,2,2,3,4,4,4,4,4,4,5,4,5,111,115
"Yes","Female","[40, 49)","L","Business",1,1,4,1,5,5,5,5,5,5,5,4,5,3,72,113
"No","Male","[40, 49)","L","Eco",2,5,2,2,2,2,2,2,4,4,4,4,4,2,0,0
"Yes","Female","[40, 49)","L","Business",5,5,5,5,3,5,5,5,5,5,5,5,5,5,0,0
"Yes","Male","[40, 49)","L","Business",2,2,2,2,4,5,4,5,5,5,5,5,5,3,0,0
"No","Female","[40, 49)","L","Eco Plus",3,2,5,2,3,3,3,2,4,3,3,3,4,3,225,216
"Yes","Female","[40, 49)","L","Business",3,3,3,3,4,4,4,4,4,4,4,5,4,3,8,0
"Yes","Male","[40, 49)","L","Business",2,2,2,2,5,5,5,4,4,4,4,5,4,3,0,0
"No","Female","[40, 49)","L","Eco",4,0,4,4,5,4,5,2,2,4,2,3,2,3,0,0
"Yes","Female","[40, 49)","L","Business",5,5,2,5,2,5,5,4,4,5,4,3,4,3,0,13
"No","Female","[40, 49)","NL","Business",3,3,3,3,1,3,3,1,4,3,4,2,4,1,0,20
"Yes","Male","[40, 49)","L","Business",5,5,5,5,4,4,4,3,4,5,4,4,5,4,167,159
"Yes","Male","[40, 49)","L","Business",2,2,2,2,2,4,4,3,3,4,3,4,3,4,10,9
"Yes","Female","[40, 49)","L","Business",5,5,5,5,4,4,4,4,4,4,4,4,4,5,0,0
"No","Male","[40, 49)","L","Eco",3,3,3,3,4,3,5,4,3,3,4,4,1,4,3,0
"Yes","Male","[40, 49)","L","Eco Plus",5,1,2,1,4,5,4,4,5,5,2,4,3,4,0,0
"No","Female","[40, 49)","L","Eco",3,3,3,3,2,3,4,1,1,3,1,1,1,1,4,0
"No","Male","[40, 49)","L","Business",3,4,4,4,2,4,3,3,3,3,3,3,3,1,18,9
"No","Female","[40, 49)","L","Eco",4,3,4,3,1,4,1,5,5,4,5,2,5,2,0,0
"Yes","Female","[40, 49)","L","Eco",3,3,3,3,5,3,1,3,3,3,3,3,3,5,36,30
"Yes","Male","[40, 49)","L","Eco",2,4,4,4,2,2,2,2,1,1,1,1,5,2,0,0
"Yes","Male","[40, 49)","L","Eco",5,5,5,2,2,5,2,2,5,3,3,2,2,2,0,0
"Yes","Male","[40, 49)","L","Business",0,0,0,3,5,5,4,5,5,5,3,5,5,4,0,0
"Yes","Male","[40, 49)","L","Eco",4,0,4,3,1,4,1,1,3,3,5,3,4,1,0,0
"Yes","Male","[40, 49)","L","Business",5,5,5,5,4,4,5,2,2,2,2,3,2,5,0,0
"Yes","Female","[40, 49)","L","Business",1,1,1,1,4,4,4,5,5,5,5,4,5,4,0,0
"Yes","Male","[40, 49)","L","Business",1,1,1,1,2,5,5,5,5,5,5,4,5,3,0,0
"Yes","Female","[40, 49)","L","Business",5,5,2,5,3,4,4,5,5,5,5,4,5,4,0,0
"Yes","Female","[40, 49)","L","Business",5,5,3,5,3,4,5,4,4,5,4,5,4,3,0,0
"No","Male","[40, 49)","NL","Business",2,2,2,1,2,2,2,2,3,3,5,5,5,2,0,0
"Yes","Female","[40, 49)","L","Business",2,2,2,2,4,5,4,4,4,4,4,4,4,4,0,0
"No","Female","[40, 49)","NL","Eco",1,1,1,3,5,1,5,5,4,5,4,4,3,5,0,0
"No","Male","[40, 49)","L","Eco",3,2,3,3,5,3,5,5,2,5,4,1,4,5,1,15
"Yes","Female","[40, 49)","L","Eco",3,1,5,5,3,3,3,3,1,5,2,1,2,3,0,27
"No","Male","[40, 49)","L","Eco",3,4,4,4,3,3,3,3,1,5,4,3,3,3,0,4
"Yes","Male","[40, 49)","L","Business",2,2,2,2,5,5,5,4,4,4,4,4,4,4,0,0
"No","Female","[40, 49)","L","Eco",2,4,2,4,2,4,4,2,2,2,2,3,2,2,39,30
"Yes","Female","[40, 49)","L","Business",2,2,2,2,4,5,4,4,4,4,5,5,4,3,0,0
"No","Female","[40, 49)","L","Eco",3,3,3,3,3,3,3,3,2,1,1,2,2,3,0,0
"Yes","Male","[40, 49)","L","Business",2,2,2,2,5,4,4,5,5,5,5,3,5,5,5,0
"Yes","Male","[40, 49)","L","Eco",5,1,1,1,5,5,5,5,2,3,5,1,1,5,0,0
"No","Male","[40, 49)","L","Eco",3,3,0,3,1,0,1,1,2,5,4,3,3,1,43,37
"Yes","Female","[40, 49)","L","Business",1,1,2,1,5,5,5,4,3,3,5,5,5,5,8,0
"Yes","Male","[40, 49)","L","Business",3,3,3,3,3,5,5,4,4,4,4,3,4,3,10,13
"Yes","Male","[40, 49)","L","Business",3,3,3,3,4,4,5,5,5,5,5,5,5,4,0,0
"No","Male","[40, 49)","L","Eco",3,5,5,5,3,3,3,3,3,5,3,2,4,3,1,1
"Yes","Female","[40, 49)","L","Eco",4,3,1,3,5,4,5,5,5,2,5,5,2,5,61,123
"Yes","Female","[40, 49)","L","Business",2,2,2,2,4,5,4,3,3,3,3,5,3,3,0,0
"Yes","Male","[40, 49)","L","Business",5,2,5,5,5,4,5,4,4,4,4,3,4,4,11,1
"No","Male","[40, 49)","L","Business",1,1,1,1,5,4,3,2,2,2,1,3,2,2,0,0
"Yes","Male","[40, 49)","L","Business",1,1,1,1,4,4,4,4,4,4,4,5,4,4,18,5
"No","Female","[40, 49)","L","Business",2,1,1,1,2,3,4,2,2,2,2,4,2,3,0,0
"Yes","Male","[40, 49)","L","Eco Plus",2,2,5,5,2,2,2,2,1,3,5,1,4,2,0,0
"No","Male","[40, 49)","NL","Eco",3,5,3,3,3,3,3,3,1,3,5,3,5,3,2,0
"Yes","Female","[40, 49)","L","Business",4,4,4,4,3,4,4,5,5,5,5,5,5,3,0,0
"Yes","Female","[40, 49)","L","Business",5,5,5,2,4,4,4,2,2,5,4,4,2,5,0,0
"Yes","Male","[40, 49)","NL","Business",2,2,2,5,3,2,3,3,4,4,5,4,4,3,1,0
"No","Female","[40, 49)","NL","Eco",1,1,1,3,3,1,3,3,1,2,3,3,2,3,0,0
"No","Male","[40, 49)","L","Eco",1,4,1,3,1,4,4,1,4,4,3,4,3,4,8,18
"Yes","Male","[40, 49)","NL","Business",2,2,2,3,5,2,5,5,3,3,4,5,4,5,0,0
"No","Female","[40, 49)","L","Business",1,5,2,2,4,5,5,1,1,2,1,5,1,4,0,0
"No","Female","[40, 49)","L","Eco",4,5,4,3,5,4,4,5,5,3,5,5,4,5,0,0
"No","Male","[40, 49)","L","Business",4,1,1,1,1,3,3,4,4,4,4,3,4,2,14,19
"Yes","Female","[40, 49)","L","Business",5,5,5,5,4,5,5,5,5,5,5,3,5,4,0,0
"No","Female","[40, 49)","L","Eco",3,2,3,1,5,2,2,4,4,3,4,3,4,3,4,0
"Yes","Male","[40, 49)","L","Eco",4,5,5,5,4,4,4,4,4,3,5,2,2,4,9,0
"Yes","Female","[40, 49)","L","Business",0,0,0,2,4,4,5,1,1,1,1,4,1,5,1,0
"No","Female","[40, 49)","L","Eco",2,2,2,3,3,4,4,5,5,2,5,3,5,1,0,0
"No","Male","[40, 49)","L","Eco",2,5,5,5,2,2,2,2,3,2,2,1,3,2,0,0
"Yes","Male","[40, 49)","L","Business",0,0,0,3,3,5,5,1,1,1,1,5,1,5,0,0
"Yes","Female","[40, 49)","L","Business",5,5,5,5,5,5,4,2,2,2,2,4,2,3,0,0
"No","Female","[40, 49)","L","Business",1,2,2,2,5,1,1,1,1,1,1,1,1,2,0,0
"Yes","Female","[40, 49)","L","Business",4,4,2,4,2,2,2,2,2,2,2,3,2,4,22,16
"No","Male","[40, 49)","L","Eco",4,2,5,5,4,4,4,4,4,5,3,3,3,4,33,43
"No","Male","[40, 49)","L","Business",2,3,3,3,5,4,4,2,2,2,2,3,2,2,87,77
"Yes","Female","[40, 49)","L","Business",2,2,2,2,2,5,5,4,4,4,4,5,4,3,7,0
"Yes","Female","[40, 49)","L","Business",5,5,5,5,5,4,5,4,4,4,4,5,4,5,57,58
"No","Male","[40, 49)","NL","Eco",4,4,4,4,4,4,4,4,3,1,3,4,4,4,126,117
"No","Female","[40, 49)","L","Eco",1,2,4,2,2,4,4,1,1,1,1,4,1,2,0,0
"Yes","Male","[40, 49)","L","Business",2,2,2,2,3,5,4,4,4,4,4,4,4,3,0,1
"Yes","Male","[40, 49)","L","Business",3,3,3,3,5,1,2,4,4,4,3,2,4,2,0,3
"Yes","Female","[40, 49)","L","Business",3,3,3,3,3,5,5,4,4,4,5,5,4,3,0,6
"No","Female","[40, 49)","L","Eco",4,4,5,3,5,5,1,3,3,5,3,5,3,1,1,0
"No","Female","[40, 49)","L","Eco",3,5,5,5,2,3,2,2,2,3,2,4,2,1,0,0
"Yes","Male","[40, 49)","L","Business",4,4,3,4,4,2,5,4,4,4,4,3,4,2,0,0
"Yes","Female","[40, 49)","L","Business",5,5,5,5,5,5,5,4,4,4,4,3,4,4,8,11
"Yes","Female","[40, 49)","L","Eco",5,4,4,4,4,1,1,5,5,5,5,4,5,3,6,0
"Yes","Female","[40, 49)","L","Business",4,3,4,4,3,3,5,5,5,5,5,5,5,4,0,0
"Yes","Female","[40, 49)","L","Business",2,2,4,2,5,5,5,4,4,4,4,4,4,5,0,3
"Yes","Male","[40, 49)","L","Business",3,3,2,3,4,3,3,4,4,3,4,3,4,5,10,0
"Yes","Female","[40, 49)","NL","Business",5,5,5,3,1,5,1,1,4,4,4,3,4,1,8,12
"Yes","Female","[40, 49)","L","Business",4,4,4,4,3,5,5,4,4,4,4,3,4,3,0,0
"Yes","Male","[40, 49)","L","Business",5,5,5,5,3,4,5,4,4,4,4,5,4,3,19,12
"No","Female","[40, 49)","L","Eco",1,2,2,2,5,4,3,1,1,1,1,1,1,4,0,0
"Yes","Female","[40, 49)","L","Business",1,1,1,1,5,4,4,5,5,5,5,4,5,4,13,13
"No","Female","[40, 49)","L","Eco",4,3,4,3,5,5,5,5,5,4,5,3,5,5,0,4
"No","Female","[40, 49)","L","Eco",4,4,4,3,3,4,4,2,2,4,2,4,2,3,22,32
"Yes","Male","[40, 49)","NL","Business",3,3,3,4,4,3,4,4,4,4,5,3,5,4,0,0
"Yes","Male","[40, 49)","L","Business",3,3,4,3,3,4,5,4,4,4,4,3,4,5,0,0
"Yes","Male","[40, 49)","L","Business",5,5,5,5,4,4,4,3,3,3,3,3,3,3,0,0
"Yes","Male","[40, 49)","L","Business",4,4,4,4,1,3,5,5,5,5,5,4,5,4,0,0
"Yes","Female","[40, 49)","L","Business",3,3,3,3,2,4,4,5,5,5,5,5,5,3,1,8
"Yes","Female","[40, 49)","L","Business",5,5,5,5,5,5,5,5,5,5,5,3,5,4,24,26
"Yes","Female","[40, 49)","L","Eco Plus",2,4,4,4,4,1,3,2,2,2,2,2,2,4,60,55
"Yes","Male","[40, 49)","L","Business",1,1,1,1,4,4,5,4,4,4,4,3,4,3,11,13
"Yes","Female","[40, 49)","L","Business",3,3,3,3,2,4,5,3,3,4,3,1,3,2,126,115
"No","Female","[40, 49)","L","Business",4,1,1,1,1,4,3,4,4,4,4,3,4,2,3,7
"No","Male","[40, 49)","L","Business",1,5,1,3,4,5,5,1,1,1,1,3,1,3,0,0
"Yes","Male","[40, 49)","L","Business",5,5,5,5,5,4,5,5,5,5,5,4,5,4,0,0
"Yes","Female","[40, 49)","L","Business",5,5,5,5,3,4,5,4,4,4,4,5,4,1,34,36
"No","Female","[40, 49)","L","Business",3,2,2,2,3,2,3,3,3,3,3,4,3,3,13,18
"No","Female","[40, 49)","NL","Business",2,2,2,3,5,2,5,5,3,2,3,1,3,5,22,17
"Yes","Male","[40, 49)","L","Business",2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,0
"Yes","Female","[40, 49)","L","Business",1,1,1,1,5,4,4,3,3,3,3,4,3,3,0,0
"Yes","Male","[40, 49)","L","Business",1,1,1,1,2,5,4,5,5,5,5,3,5,4,8,5
"Yes","Female","[40, 49)","L","Business",1,1,3,1,4,4,4,4,4,4,4,3,4,5,0,0
"Yes","Male","[40, 49)","L","Business",1,1,1,1,3,3,2,2,2,2,2,4,2,2,0,0
"Yes","Male","[40, 49)","L","Business",2,2,4,2,5,5,4,5,5,5,5,5,5,5,0,0
"No","Male","[40, 49)","L","Eco",3,2,3,3,2,3,2,2,2,2,4,4,3,2,0,0
"Yes","Male","[40, 49)","L","Business",0,0,0,2,3,4,5,3,3,3,3,3,3,4,0,1
"Yes","Female","[40, 49)","L","Business",3,3,3,3,5,5,4,4,4,4,4,5,4,3,0,2
"No","Male","[40, 49)","L","Eco",1,2,1,3,1,1,1,1,3,3,4,4,4,1,3,0
"No","Female","[40, 49)","NL","Business",4,4,4,4,1,4,1,1,4,5,5,4,5,1,0,0
"Yes","Female","[40, 49)","L","Business",1,1,1,1,5,5,5,4,4,4,4,5,4,3,0,0
"No","Male","[40, 49)","L","Eco",1,2,1,3,1,1,1,1,4,3,4,1,3,1,0,0
"Yes","Female","[40, 49)","L","Business",0,4,1,3,4,4,4,3,3,3,3,5,3,4,0,0
"No","Male","[40, 49)","L","Eco",2,2,1,4,2,1,2,2,3,4,4,4,3,2,0,0
"Yes","Male","[40, 49)","L","Business",0,0,0,5,4,5,4,2,2,2,2,3,2,5,30,12
"No","Male","[40, 49)","NL","Eco",4,0,4,3,1,4,1,1,2,3,4,3,1,1,0,0
"Yes","Male","[40, 49)","L","Business",2,2,2,2,3,3,4,5,5,5,5,3,5,5,0,0
"No","Male","[40, 49)","L","Eco",1,4,1,4,2,1,2,2,3,3,3,3,1,2,4,0
"Yes","Male","[40, 49)","L","Business",4,4,4,4,4,4,4,5,5,5,5,3,5,3,0,0
"Yes","Male","[40, 49)","L","Business",1,1,1,1,5,4,2,5,5,5,5,1,5,1,0,0
"Yes","Female","[40, 49)","L","Business",4,4,4,4,4,4,5,5,5,5,5,4,5,4,13,0
"Yes","Female","[40, 49)","L","Business",5,5,5,5,2,4,5,4,4,4,4,4,4,3,0,0
"No","Male","[40, 49)","L","Eco",2,4,2,5,3,2,1,3,5,5,4,4,4,3,0,0
"Yes","Female","[40, 49)","NL","Business",5,5,5,5,5,5,5,4,3,5,5,5,3,5,132,124
"Yes","Female","[40, 49)","L","Eco",5,5,5,4,3,4,4,2,2,5,2,5,2,4,1,0
"Yes","Male","[40, 49)","L","Eco",5,5,5,5,5,5,5,5,2,5,1,2,1,5,0,0
"Yes","Female","[40, 49)","L","Business",2,2,2,2,4,4,5,5,5,5,5,4,5,4,4,0
"Yes","Male","[40, 49)","L","Eco",5,1,1,1,5,5,5,5,2,4,4,1,3,5,0,0
"No","Male","[40, 49)","L","Eco",2,5,2,3,1,2,1,1,3,4,5,5,5,1,61,61
