학교명,학년,학생수,교사수
서울초당초등학교,1,98,5
서울초당초등학교,2,136,6
서울초당초등학교,3,142,6
서울초당초등학교,4,147,7
서울초당초등학교,5,136,6
서울초당초등학교,6,171,8
서울충무초등학교,1,28,2
서울충무초등학교,2,33,3
서울충무초등학교,3,31,2
서울충무초등학교,4,32,2
서울충무초등학교,5,37,2
서울충무초등학교,6,33,3
서울치현초등학교,1,74,4
서울치현초등학교,2,85,5
서울치현초등학교,3,76,4
서울치현초등학교,4,87,5
서울치현초등학교,5,95,5
서울치현초등학교,6,118,7
서울탑동초등학교,1,76,4
서울탑동초등학교,2,77,4
서울탑동초등학교,3,66,3
서울탑동초등학교,4,84,5
서울탑동초등학교,5,93,4
서울탑동초등학교,6,73,4
서울탑산초등학교,1,76,5
서울탑산초등학교,2,90,4
서울탑산초등학교,3,80,5
서울탑산초등학교,4,68,3
서울탑산초등학교,5,73,4
서울탑산초등학교,6,79,4
서울태랑초등학교,1,140,6
서울태랑초등학교,2,130,5
서울태랑초등학교,3,148,7
서울태랑초등학교,4,157,7
서울태랑초등학교,5,160,8
서울태랑초등학교,6,152,6
서울태릉초등학교,1,138,8
서울태릉초등학교,2,165,7
서울태릉초등학교,3,132,6
서울태릉초등학교,4,142,7
서울태릉초등학교,5,135,6
서울태릉초등학교,6,146,7
서울토성초등학교,1,136,7
서울토성초등학교,2,101,5
서울토성초등학교,3,102,5
서울토성초등학교,4,110,5
서울토성초등학교,5,130,6
서울토성초등학교,6,119,6
서울평화초등학교,1,33,2
서울평화초등학교,2,36,2
서울평화초등학교,3,23,2
서울평화초등학교,4,24,2
서울평화초등학교,5,30,2
서울평화초등학교,6,29,3
서울포이초등학교,1,78,4
서울포이초등학교,2,79,4
서울포이초등학교,3,86,5
서울포이초등학교,4,87,4
서울포이초등학교,5,73,4
서울포이초등학교,6,85,4
서울풍납초등학교,1,55,3
서울풍납초등학교,2,50,3
서울풍납초등학교,3,68,4
서울풍납초등학교,4,49,3
서울풍납초등학교,5,62,3
서울풍납초등학교,6,63,4
서울풍성초등학교,1,51,3
서울풍성초등학교,2,35,2
서울풍성초등학교,3,54,3
서울풍성초등학교,4,61,3
서울풍성초등학교,5,40,2
서울풍성초등학교,6,50,3
서울하늘숲초등학교,1,47,2
서울하늘숲초등학교,2,74,4
서울하늘숲초등학교,3,72,4
서울하늘숲초등학교,4,122,6
서울하늘숲초등학교,5,127,7
서울하늘숲초등학교,6,123,7
서울하늘초등학교,1,58,3
서울하늘초등학교,2,61,3
서울하늘초등학교,3,66,4
서울하늘초등학교,4,75,4
서울하늘초등학교,5,97,5
서울하늘초등학교,6,137,7
서울학동초등학교,1,77,4
서울학동초등학교,2,77,3
서울학동초등학교,3,84,4
서울학동초등학교,4,77,3
서울학동초등학교,5,84,4
서울학동초등학교,6,78,3
서울한강초등학교,1,60,3
서울한강초등학교,2,30,3
서울한강초등학교,3,44,2
서울한강초등학교,4,37,2
서울한강초등학교,5,22,2
서울한강초등학교,6,44,3
서울한남초등학교,1,81,3
서울한남초등학교,2,56,3
서울한남초등학교,3,43,2
서울한남초등학교,4,35,2
서울한남초등학교,5,45,3
서울한남초등학교,6,50,3
서울한산초등학교,1,114,6
서울한산초등학교,2,119,6
서울한산초등학교,3,101,5
서울한산초등학교,4,135,6
서울한산초등학교,5,125,5
서울한산초등학교,6,124,7
서울한서초등학교,1,167,8
서울한서초등학교,2,135,8
서울한서초등학교,3,137,7
서울한서초등학교,4,120,7
서울한서초등학교,5,144,8
서울한서초등학교,6,112,6
서울한천초등학교,1,142,7
서울한천초등학교,2,129,6
서울한천초등학교,3,126,6
서울한천초등학교,4,130,6
서울한천초등학교,5,146,7
서울한천초등학교,6,133,6
서울항동초등학교,1,303,14
서울항동초등학교,2,270,12
서울항동초등학교,3,226,10
서울항동초등학교,4,203,10
서울항동초등학교,5,161,7
서울항동초등학교,6,153,7
서울해누리초등학교,1,113,6
서울해누리초등학교,2,110,5
서울해누리초등학교,3,107,4
서울해누리초등학교,4,90,4
서울해누리초등학교,5,126,5
서울해누리초등학교,6,113,5
서울행당초등학교,1,126,6
서울행당초등학교,2,114,5
서울행당초등학교,3,132,7
서울행당초등학교,4,115,5
서울행당초등학교,5,118,6
서울행당초등학교,6,115,6
서울행림초등학교,1,27,2
서울행림초등학교,2,38,2
서울행림초등학교,3,42,2
서울행림초등학교,4,30,2
서울행림초등학교,5,40,2
서울행림초등학교,6,44,2
서울행현초등학교,1,91,5
서울행현초등학교,2,89,4
서울행현초등학교,3,100,5
서울행현초등학교,4,96,5
서울행현초등학교,5,91,5
서울행현초등학교,6,116,6
서울혜화초등학교,1,59,3
서울혜화초등학교,2,64,4
서울혜화초등학교,3,91,6
서울혜화초등학교,4,75,4
서울혜화초등학교,5,89,4
서울혜화초등학교,6,93,6
서울홍릉초등학교,1,41,2
서울홍릉초등학교,2,60,3
서울홍릉초등학교,3,55,3
서울홍릉초등학교,4,48,2
서울홍릉초등학교,5,69,4
서울홍릉초등학교,6,62,3
서울홍연초등학교,1,67,3
서울홍연초등학교,2,87,5
서울홍연초등학교,3,97,5
서울홍연초등학교,4,89,4
서울홍연초등학교,5,124,7
서울홍연초등학교,6,100,5
서울홍은초등학교,1,61,3
서울홍은초등학교,2,59,3
서울홍은초등학교,3,54,4
서울홍은초등학교,4,62,3
서울홍은초등학교,5,60,3
서울홍은초등학교,6,46,3
서울홍제초등학교,1,141,7
서울홍제초등학교,2,153,8
서울홍제초등학교,3,130,5
서울홍제초등학교,4,134,6
서울홍제초등학교,5,138,6
서울홍제초등학교,6,158,8
서울홍파초등학교,1,42,2
서울홍파초등학교,2,33,2
서울홍파초등학교,3,32,2
서울홍파초등학교,4,40,3
서울홍파초등학교,5,40,2
서울홍파초등학교,6,40,4
서울화계초등학교,1,85,5
서울화계초등학교,2,90,4
서울화계초등학교,3,93,5
서울화계초등학교,4,116,6
서울화계초등학교,5,115,5
서울화계초등학교,6,129,6
서울화곡초등학교,1,111,6
서울화곡초등학교,2,115,6
서울화곡초등학교,3,143,7
서울화곡초등학교,4,121,6
서울화곡초등학교,5,149,7
서울화곡초등학교,6,161,9
서울화일초등학교,1,80,5
서울화일초등학교,2,118,6
서울화일초등학교,3,96,5
서울화일초등학교,4,109,5
서울화일초등학교,5,132,8
서울화일초등학교,6,109,6
서울효제초등학교,1,22,2
서울효제초등학교,2,27,2
서울효제초등학교,3,32,2
서울효제초등학교,4,33,2
서울효제초등학교,5,49,2
서울효제초등학교,6,46,3
서울후암초등학교,1,42,3
서울후암초등학교,2,43,3
서울후암초등학교,3,34,2
서울후암초등학교,4,50,4
서울후암초등학교,5,58,3
서울후암초등학교,6,43,4
서울휘경초등학교,1,54,4
서울휘경초등학교,2,48,2
서울휘경초등학교,3,44,2
서울휘경초등학교,4,39,3
서울휘경초등학교,5,46,2
서울휘경초등학교,6,53,3
서울휘봉초등학교,1,120,5
서울휘봉초등학교,2,138,7
서울휘봉초등학교,3,100,5
서울휘봉초등학교,4,122,5
서울휘봉초등학교,5,128,6
서울휘봉초등학교,6,128,7
서울흑석초등학교,1,89,5
서울흑석초등학교,2,84,4
서울흑석초등학교,3,82,5
서울흑석초등학교,4,71,4
서울흑석초등학교,5,98,5
서울흑석초등학교,6,81,5
서울흥인초등학교,1,74,3
서울흥인초등학교,2,59,4
서울흥인초등학교,3,54,3
서울흥인초등학교,4,71,3
서울흥인초등학교,5,48,3
서울흥인초등학교,6,64,3
서원주초등학교,1,117,6
서원주초등학교,2,125,5
서원주초등학교,3,110,5
서원주초등학교,4,105,4
서원주초등학교,5,122,5
서원주초등학교,6,131,5
서원초등학교,1,134,7
서원초등학교,2,148,7
서원초등학교,3,186,9
서원초등학교,4,153,8
서원초등학교,5,199,9
서원초등학교,6,261,13
서일초등학교,1,50,3
서일초등학교,2,60,3
서일초등학교,3,75,4
서일초등학교,4,69,3
서일초등학교,5,85,4
서일초등학교,6,102,5
서정리초등학교,1,31,2
서정리초등학교,2,30,2
서정리초등학교,3,30,3
서정리초등학교,4,25,1
서정리초등학교,5,37,2
서정리초등학교,6,48,3
서정초등학교,1,146,8
서정초등학교,2,155,9
서정초등학교,3,157,8
서정초등학교,4,170,8
서정초등학교,5,207,9
서정초등학교,6,216,11
서종초등학교,1,47,2
서종초등학교,2,49,2
서종초등학교,3,57,2
서종초등학교,4,59,3
서종초등학교,5,52,2
서종초등학교,6,66,3
서진초등학교,1,98,5
서진초등학교,2,131,5
서진초등학교,3,117,5
서진초등학교,4,120,5
서진초등학교,5,127,5
서진초등학교,6,126,5
서창초등학교,1,44,3
서창초등학교,2,60,4
서창초등학교,3,54,4
서창초등학교,4,48,4
서창초등학교,5,77,5
서창초등학교,6,65,4
서천초등학교,1,172,9
서천초등학교,2,158,8
서천초등학교,3,220,10
서천초등학교,4,209,11
서천초등학교,5,230,12
서천초등학교,6,227,11
서촌초등학교,1,98,6
서촌초등학교,2,77,4
서촌초등학교,3,86,5
서촌초등학교,4,82,4
서촌초등학교,5,121,5
서촌초등학교,6,100,6
서탄초등학교,1,10,1
서탄초등학교,2,6,1
서탄초등학교,3,10,1
서탄초등학교,4,8,1
서탄초등학교,5,11,1
서탄초등학교,6,9,2
서평초등학교,1,45,2
서평초등학교,2,34,3
서평초등학교,3,31,2
서평초등학교,4,27,1
서평초등학교,5,28,1
서평초등학교,6,22,1
서포초등학교,1,3,1
서포초등학교,2,12,2
서포초등학교,3,7,1
서포초등학교,4,12,1
서포초등학교,5,6,1
서포초등학교,6,8,1
서해삼육초등학교,1,32,1
서해삼육초등학교,2,32,1
서해삼육초등학교,3,31,1
서해삼육초등학교,4,29,1
서해삼육초등학교,5,30,1
서해삼육초등학교,6,25,1
서해초등학교,1,125,5
서해초등학교,2,142,6
서해초등학교,3,142,6
서해초등학교,4,140,6
서해초등학교,5,161,7
서해초등학교,6,155,6
서현초등학교,1,222,9
서현초등학교,2,300,12
서현초등학교,3,307,12
서현초등학교,4,347,14
서현초등학교,5,392,16
서현초등학교,6,422,17
서호초등학교,1,117,5
서호초등학교,2,120,6
서호초등학교,3,111,5
서호초등학교,4,102,5
서호초등학교,5,118,5
서호초등학교,6,131,8
서화초등학교,1,16,1
서화초등학교,2,16,1
서화초등학교,3,12,1
서화초등학교,4,10,1
서화초등학교,5,18,1
서화초등학교,6,4,1
석곡초등학교,1,9,1
석곡초등학교,2,10,1
석곡초등학교,3,5,1
석곡초등학교,4,16,2
석곡초등학교,5,17,1
석곡초등학교,6,9,1
석곶초등학교,1,122,5
석곶초등학교,2,124,5
석곶초등학교,3,144,6
석곶초등학교,4,142,6
석곶초등학교,5,175,7
석곶초등학교,6,143,6
석교초등학교,1,61,4
석교초등학교,2,56,3
석교초등학교,3,59,3
석교초등학교,4,57,3
석교초등학교,5,58,3
석교초등학교,6,88,7
석동초등학교,1,44,2
석동초등학교,2,53,2
석동초등학교,3,67,3
석동초등학교,4,95,5
석동초등학교,5,96,4
석동초등학교,6,97,4
석문초등학교,1,19,1
석문초등학교,2,16,1
석문초등학교,3,13,1
석문초등학교,4,15,2
석문초등학교,5,12,1
석문초등학교,6,19,2
석봉초등학교,1,83,4
석봉초등학교,2,101,5
석봉초등학교,3,101,5
석봉초등학교,4,102,4
석봉초등학교,5,127,5
석봉초등학교,6,107,4
석사초등학교,1,111,6
석사초등학교,2,123,5
석사초등학교,3,98,4
석사초등학교,4,112,5
석사초등학교,5,143,7
석사초등학교,6,154,6
석산초등학교,1,257,12
석산초등학교,2,292,11
석산초등학교,3,267,10
석산초등학교,4,255,11
석산초등학교,5,282,11
석산초등학교,6,272,10
석성초등학교,1,123,6
석성초등학교,2,138,7
석성초등학교,3,161,8
석성초등학교,4,184,9
석성초등학교,5,192,9
석성초등학교,6,219,11
석송초등학교,1,6,1
석송초등학교,2,10,1
석송초등학교,3,8,1
석송초등학교,4,9,1
석송초등학교,5,4,1
석송초등학교,6,6,1
석수초등학교,1,90,5
석수초등학교,2,79,3
석수초등학교,3,78,3
석수초등학교,4,88,4
석수초등학교,5,107,4
석수초등학교,6,102,4
석양초등학교,1,6,1
석양초등학교,2,6,1
석양초등학교,3,12,2
석양초등학교,4,6,1
석양초등학교,5,9,1
석양초등학교,6,12,1
석우초등학교,1,119,5
석우초등학교,2,142,6
석우초등학교,3,109,4
석우초등학교,4,128,6
석우초등학교,5,153,7
석우초등학교,6,133,5
석적초등학교,1,193,8
석적초등학교,2,192,9
석적초등학교,3,144,5
석적초등학교,4,132,5
석적초등학교,5,143,6
석적초등학교,6,101,4
석전초등학교,1,88,4
석전초등학교,2,88,4
석전초등학교,3,92,5
석전초등학교,4,122,5
석전초등학교,5,136,6
석전초등학교,6,112,5
석정초등학교,1,11,1
석정초등학교,2,11,1
석정초등학교,3,16,2
석정초등학교,4,6,1
석정초등학교,5,13,1
석정초등학교,6,5,1
석천초등학교,1,167,8
석천초등학교,2,173,7
석천초등학교,3,184,7
석천초등학교,4,167,8
석천초등학교,5,177,8
석천초등학교,6,172,7
석포초등학교,1,106,5
석포초등학교,2,136,6
석포초등학교,3,140,6
석포초등학교,4,120,6
석포초등학교,5,102,5
석포초등학교,6,118,5
석현초등학교,1,82,4
석현초등학교,2,91,5
석현초등학교,3,79,3
석현초등학교,4,79,3
석현초등학교,5,91,4
석현초등학교,6,92,4
석호초등학교,1,112,5
석호초등학교,2,124,6
석호초등학교,3,112,5
석호초등학교,4,151,7
석호초등학교,5,123,5
석호초등학교,6,188,10
석화초등학교,1,53,3
석화초등학교,2,74,4
석화초등학교,3,55,4
석화초등학교,4,43,2
석화초등학교,5,52,3
석화초등학교,6,46,2
선남초등학교,1,6,1
선남초등학교,2,4,1
선남초등학교,3,3,1
선남초등학교,4,6,1
선남초등학교,5,11,1
선남초등학교,6,9,1
선단초등학교,1,63,3
선단초등학교,2,63,3
선단초등학교,3,62,3
선단초등학교,4,64,3
선단초등학교,5,79,3
선단초등학교,6,76,4
선동초등학교,1,14,1
선동초등학교,2,7,1
선동초등학교,3,5,1
선동초등학교,4,6,1
선동초등학교,5,11,2
선동초등학교,6,16,3
선부초등학교,1,107,5
선부초등학교,2,96,4
선부초등학교,3,107,4
선부초등학교,4,110,4
선부초등학교,5,142,6
선부초등학교,6,130,5
선산초등학교,1,84,4
선산초등학교,2,90,4
선산초등학교,3,93,4
선산초등학교,4,94,5
선산초등학교,5,92,4
선산초등학교,6,114,5
선암초등학교,1,46,4
선암초등학교,2,42,3
선암초등학교,3,40,2
선암초등학교,4,29,2
선암초등학교,5,42,3
선암초등학교,6,21,2
선운초등학교,1,263,13
선운초등학교,2,243,10
선운초등학교,3,222,10
선운초등학교,4,195,9
선운초등학교,5,240,11
선운초등학교,6,195,8
선원초등학교,1,34,2
선원초등학교,2,43,2
선원초등학교,3,28,2
선원초등학교,4,42,2
선원초등학교,5,48,3
선원초등학교,6,41,2
선일초등학교,1,125,6
선일초등학교,2,138,7
선일초등학교,3,118,7
선일초등학교,4,153,8
선일초등학교,5,125,7
선일초등학교,6,143,10
선주초등학교,1,183,7
선주초등학교,2,208,8
선주초등학교,3,187,7
선주초등학교,4,195,7
선주초등학교,5,226,9
선주초등학교,6,187,7
선창초등학교,1,133,7
선창초등학교,2,162,7
선창초등학교,3,169,7
선창초등학교,4,161,7
선창초등학교,5,156,7
선창초등학교,6,183,10
선학초등학교,1,43,2
선학초등학교,2,44,2
선학초등학교,3,43,2
선학초등학교,4,55,2
선학초등학교,5,49,3
선학초등학교,6,64,3
선행초등학교,1,108,5
선행초등학교,2,106,4
선행초등학교,3,98,4
선행초등학교,4,110,4
선행초등학교,5,136,5
선행초등학교,6,81,3
선흘초등학교,1,13,1
선흘초등학교,2,10,1
선흘초등학교,3,20,1
선흘초등학교,4,20,1
선흘초등학교,5,13,1
선흘초등학교,6,16,1
설봉초등학교,1,152,7
설봉초등학교,2,179,7
설봉초등학교,3,166,6
설봉초등학교,4,193,7
설봉초등학교,5,196,8
설봉초등학교,6,186,7
설악초등학교,1,9,1
설악초등학교,2,13,1
설악초등학교,3,6,1
설악초등학교,4,13,1
설악초등학교,5,9,1
설악초등학교,6,9,1
설천초등학교,1,17,2
설천초등학교,2,20,2
설천초등학교,3,15,2
설천초등학교,4,19,2
설천초등학교,5,14,2
설천초등학교,6,23,3
섬강초등학교,1,220,9
섬강초등학교,2,256,12
섬강초등학교,3,215,8
섬강초등학교,4,219,10
섬강초등학교,5,240,9
섬강초등학교,6,210,8
성거초등학교,1,88,4
성거초등학교,2,90,4
성거초등학교,3,88,4
성거초등학교,4,108,6
성거초등학교,5,115,6
성거초등학교,6,131,6
성곡초등학교,1,43,2
성곡초등학교,2,53,2
성곡초등학교,3,57,3
성곡초등학교,4,55,3
성곡초등학교,5,80,3
성곡초등학교,6,75,4
성남동초등학교,1,70,3
성남동초등학교,2,59,3
성남동초등학교,3,60,4
성남동초등학교,4,73,3
성남동초등학교,5,66,3
성남동초등학교,6,87,5
성남매송초등학교,1,105,4
성남매송초등학교,2,133,5
성남매송초등학교,3,104,4
성남매송초등학교,4,123,5
성남매송초등학교,5,147,6
성남매송초등학교,6,146,6
성남미금초등학교,1,100,4
성남미금초등학교,2,114,5
성남미금초등학교,3,132,5
성남미금초등학교,4,121,5
성남미금초등학교,5,125,5
성남미금초등학교,6,138,6
성남북초등학교,1,13,1
성남북초등학교,2,10,1
성남북초등학교,3,11,1
성남북초등학교,4,11,1
성남북초등학교,5,14,2
성남북초등학교,6,16,1
성남서초등학교,1,43,2
성남서초등학교,2,33,2
성남서초등학교,3,32,3
성남서초등학교,4,19,1
성남서초등학교,5,25,1
성남서초등학교,6,29,2
성남송현초등학교,1,169,7
성남송현초등학교,2,193,8
성남송현초등학교,3,172,7
성남송현초등학교,4,170,6
성남송현초등학교,5,156,6
성남송현초등학교,6,172,8
성남수정초등학교,1,46,2
성남수정초등학교,2,52,3
성남수정초등학교,3,65,3
성남수정초등학교,4,60,3
성남수정초등학교,5,82,5
성남수정초등학교,6,89,5
성남신기초등학교,1,89,4
성남신기초등학교,2,104,5
성남신기초등학교,3,104,4
성남신기초등학교,4,105,4
성남신기초등학교,5,107,4
성남신기초등학교,6,105,4
성남신흥초등학교,1,119,5
성남신흥초등학교,2,125,5
성남신흥초등학교,3,87,4
성남신흥초등학교,4,81,3
성남신흥초등학교,5,73,3
성남신흥초등학교,6,67,3
성남양지초등학교,1,43,2
성남양지초등학교,2,49,2
성남양지초등학교,3,58,3
성남양지초등학교,4,55,2
성남양지초등학교,5,56,2
성남양지초등학교,6,53,2
성남여수초등학교,1,125,5
성남여수초등학교,2,129,6
성남여수초등학교,3,123,5
성남여수초등학교,4,133,5
성남여수초등학교,5,133,5
성남여수초등학교,6,121,5
성남은행초등학교,1,59,3
성남은행초등학교,2,78,4
성남은행초등학교,3,72,4
성남은행초등학교,4,73,3
성남은행초등학교,5,69,3
성남은행초등학교,6,97,4
성남장안초등학교,1,86,4
성남장안초등학교,2,108,6
성남장안초등학교,3,80,3
성남장안초등학교,4,79,3
성남장안초등학교,5,96,4
성남장안초등학교,6,86,4
성남정자초등학교,1,140,5
성남정자초등학교,2,125,5
성남정자초등학교,3,162,6
성남정자초등학교,4,137,5
성남정자초등학교,5,226,9
성남정자초등학교,6,156,6
성남제일초등학교,1,95,4
성남제일초등학교,2,97,4
성남제일초등학교,3,95,4
성남제일초등학교,4,82,4
성남제일초등학교,5,87,4
성남제일초등학교,6,55,2
성남중앙초등학교,1,85,4
성남중앙초등학교,2,84,4
성남중앙초등학교,3,80,3
성남중앙초등학교,4,97,4
성남중앙초등학교,5,89,4
성남중앙초등학교,6,90,4
성남초등학교,1,184,10
성남초등학교,2,200,11
성남초등학교,3,211,11
성남초등학교,4,195,10
성남초등학교,5,235,11
성남초등학교,6,217,13
성남화랑초등학교,1,76,3
성남화랑초등학교,2,107,4
성남화랑초등학교,3,128,5
성남화랑초등학교,4,196,8
성남화랑초등학교,5,180,7
성남화랑초등학교,6,140,7
성당초등학교,1,24,2
성당초등학교,2,29,2
성당초등학교,3,20,3
성당초등학교,4,28,2
성당초등학교,5,22,2
성당초등학교,6,22,2
성덕초등학교,1,271,17
성덕초등학교,2,296,14
성덕초등학교,3,295,14
성덕초등학교,4,312,16
성덕초등학교,5,356,17
성덕초등학교,6,363,17
성동초등학교,1,297,14
성동초등학교,2,321,16
성동초등학교,3,325,14
성동초등학교,4,349,15
성동초등학교,5,340,14
성동초등학교,6,341,15
성라초등학교,1,64,3
성라초등학교,2,59,3
성라초등학교,3,71,3
성라초등학교,4,70,3
성라초등학교,5,77,4
성라초등학교,6,86,4
성림초등학교,1,130,6
성림초등학교,2,110,5
성림초등학교,3,126,5
성림초등학교,4,167,8
성림초등학교,5,181,7
성림초등학교,6,178,7
성복초등학교,1,102,4
성복초등학교,2,141,5
성복초등학교,3,114,4
성복초등학교,4,130,5
성복초등학교,5,157,6
성복초등학교,6,158,6
성북초등학교,1,186,10
성북초등학교,2,213,11
성북초등학교,3,169,8
성북초등학교,4,181,10
성북초등학교,5,196,9
성북초등학교,6,178,8
성사초등학교,1,102,4
성사초등학교,2,104,4
성사초등학교,3,112,5
성사초등학교,4,113,6
성사초등학교,5,150,7
성사초등학교,6,140,7
성산초등학교,1,220,17
성산초등학교,2,234,14
성산초등학교,3,244,15
성산초등학교,4,224,11
성산초등학교,5,272,16
성산초등학교,6,299,17
성서초등학교,1,155,7
성서초등학교,2,159,7
성서초등학교,3,211,9
성서초등학교,4,155,7
성서초등학교,5,184,7
성서초등학교,6,193,9
성석초등학교,1,13,1
성석초등학교,2,13,1
성석초등학교,3,9,1
성석초등학교,4,12,1
성석초등학교,5,12,1
성석초등학교,6,20,2
성수초등학교,1,78,5
성수초등학교,2,95,5
성수초등학교,3,72,4
성수초등학교,4,82,5
성수초등학교,5,82,4
성수초등학교,6,89,4
성신초등학교,1,165,7
성신초등학교,2,184,7
성신초등학교,3,171,7
성신초등학교,4,187,9
성신초등학교,5,230,12
성신초등학교,6,186,9
성안초등학교,1,187,11
성안초등학교,2,171,7
성안초등학교,3,200,8
성안초등학교,4,209,9
성안초등학교,5,207,9
성안초등학교,6,238,12
성암초등학교,1,287,12
성암초등학교,2,261,12
성암초등학교,3,291,12
성암초등학교,4,239,11
성암초등학교,5,228,10
성암초등학교,6,169,7
성연초등학교,1,270,13
성연초등학교,2,248,11
성연초등학교,3,227,10
성연초등학교,4,213,9
성연초등학교,5,245,11
성연초등학교,6,189,8
성원초등학교,1,94,5
성원초등학교,2,91,4
성원초등학교,3,100,4
성원초등학교,4,110,5
성원초등학교,5,154,7
성원초등학교,6,173,7
성읍초등학교,1,9,1
성읍초등학교,2,13,1
성읍초등학교,3,8,1
성읍초등학교,4,10,1
성읍초등학교,5,10,1
성읍초등학교,6,8,1
성저초등학교,1,42,2
성저초등학교,2,53,2
성저초등학교,3,45,2
성저초등학교,4,63,3
성저초등학교,5,57,3
성저초등학교,6,59,3
성전초등학교,1,88,6
성전초등학교,2,76,5
성전초등학교,3,77,5
성전초등학교,4,82,5
성전초등학교,5,79,5
성전초등학교,6,84,5
성주중앙초등학교,1,14,1
성주중앙초등학교,2,20,1
성주중앙초등학교,3,24,1
성주중앙초등학교,4,25,1
성주중앙초등학교,5,33,3
성주중앙초등학교,6,38,3
성주초등학교,1,244,13
성주초등학교,2,261,13
성주초등학교,3,272,12
성주초등학교,4,262,11
성주초등학교,5,283,14
성주초등학교,6,295,14
성지초등학교,1,106,6
성지초등학교,2,103,5
성지초등학교,3,108,5
성지초등학교,4,106,5
성지초등학교,5,91,5
성지초등학교,6,103,5
성진초등학교,1,45,3
성진초등학교,2,62,3
성진초등학교,3,41,2
성진초등학교,4,72,4
성진초등학교,5,61,3
성진초등학교,6,69,4
성천초등학교,1,23,2
성천초등학교,2,18,1
성천초등학교,3,8,1
성천초등학교,4,15,1
성천초등학교,5,18,2
성천초등학교,6,18,1
성포초등학교,1,79,3
성포초등학교,2,82,3
성포초등학교,3,83,3
성포초등학교,4,67,3
성포초등학교,5,79,3
성포초등학교,6,98,5
성호초등학교,1,59,3
성호초등학교,2,51,3
성호초등학교,3,60,4
성호초등학교,4,59,3
성호초등학교,5,61,3
성호초등학교,6,78,5
성화초등학교,1,69,3
성화초등학교,2,90,4
성화초등학교,3,88,4
성화초등학교,4,118,5
성화초등학교,5,125,6
성화초등학교,6,124,7
성환초등학교,1,68,4
성환초등학교,2,89,4
성환초등학교,3,80,4
성환초등학교,4,97,4
성환초등학교,5,131,6
성환초등학교,6,127,5
성황초등학교,1,122,5
성황초등학교,2,124,6
성황초등학교,3,107,4
성황초등학교,4,88,3
성황초등학교,5,83,4
성황초등학교,6,49,3
세곡초등학교,1,47,2
세곡초등학교,2,52,2
세곡초등학교,3,48,2
세곡초등학교,4,55,2
세곡초등학교,5,44,2
세곡초등학교,6,48,2
세교초등학교,1,116,5
세교초등학교,2,120,6
세교초등학교,3,115,5
세교초등학교,4,128,5
세교초등학교,5,139,6
세교초등학교,6,118,5
세도초등학교,1,4,1
세도초등학교,2,5,1
세도초등학교,3,5,1
세도초등학교,4,9,1
세도초등학교,5,10,1
세도초등학교,6,11,1
세류초등학교,1,184,9
세류초등학교,2,143,6
세류초등학교,3,160,7
세류초등학교,4,122,5
세류초등학교,5,163,7
세류초등학교,6,132,5
세마초등학교,1,107,5
세마초등학교,2,99,4
세마초등학교,3,119,6
세마초등학교,4,99,4
세마초등학교,5,90,5
세마초등학교,6,82,3
세미초등학교,1,275,10
세미초등학교,2,289,10
세미초등학교,3,275,10
세미초등학교,4,255,10
세미초등학교,5,295,11
세미초등학교,6,239,11
세성초등학교,1,7,1
세성초등학교,2,8,1
세성초등학교,3,11,1
세성초등학교,4,11,1
세성초등학교,5,5,2
세성초등학교,6,8,1
세아초등학교,1,109,4
세아초등학교,2,108,4
세아초등학교,3,119,6
세아초등학교,4,99,4
세아초등학교,5,101,4
세아초등학교,6,91,4
세월초등학교,1,7,1
세월초등학교,2,12,1
세월초등학교,3,15,1
세월초등학교,4,15,1
세월초등학교,5,6,1
세월초등학교,6,24,3
세정초등학교,1,186,7
세정초등학교,2,176,7
세정초등학교,3,163,6
세정초등학교,4,180,7
세정초등학교,5,150,6
세정초등학교,6,168,7
세종도원초등학교,1,92,5
세종도원초등학교,2,103,6
세종도원초등학교,3,111,5
세종도원초등학교,4,98,5
세종도원초등학교,5,140,8
세종도원초등학교,6,113,6
세종초등학교,1,232,9
세종초등학교,2,213,8
세종초등학교,3,229,9
세종초등학교,4,224,8
세종초등학교,5,204,7
세종초등학교,6,251,9
세지초등학교,1,12,1
세지초등학교,2,2,1
세지초등학교,3,10,2
세지초등학교,4,8,1
세지초등학교,5,10,1
세지초등학교,6,16,1
세천초등학교,1,10,1
세천초등학교,2,9,1
세천초등학교,3,7,1
세천초등학교,4,6,1
세천초등학교,5,8,1
세천초등학교,6,6,1
세풍초등학교,1,9,1
세풍초등학교,2,12,1
세풍초등학교,3,11,1
세풍초등학교,4,14,1
세풍초등학교,5,8,1
세풍초등학교,6,11,1
세화초등학교,1,17,1
세화초등학교,2,19,1
세화초등학교,3,19,1
세화초등학교,4,17,1
세화초등학교,5,17,1
세화초등학교,6,21,1
센텀초등학교,1,185,7
센텀초등학교,2,213,8
센텀초등학교,3,249,10
센텀초등학교,4,234,9
센텀초등학교,5,289,11
센텀초등학교,6,301,11
소담초등학교,1,196,10
소담초등학교,2,245,11
소담초등학교,3,187,8
소담초등학교,4,188,8
소담초등학교,5,189,9
소담초등학교,6,216,11
소답초등학교,1,52,3
소답초등학교,2,51,2
소답초등학교,3,47,2
소답초등학교,4,74,4
소답초등학교,5,83,4
소답초등학교,6,61,3
소라초등학교,1,6,1
소라초등학교,2,13,1
소라초등학교,3,12,1
소라초등학교,4,11,1
소라초등학교,5,16,1
