Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
F,Ship,3,5,242,5,medium,F,61,3688,Yes
F,Ship,5,2,168,2,high,F,3,4928,No
F,Ship,4,2,233,4,high,F,1,4316,No
A,Flight,4,5,196,5,low,F,2,5840,No
C,Ship,3,1,245,4,high,F,47,3111,Yes
B,Ship,4,2,256,4,medium,M,4,5469,No
D,Road,5,3,141,2,medium,M,4,5257,No
D,Flight,4,5,243,2,low,M,23,2686,Yes
A,Ship,4,1,269,5,medium,M,3,4534,Yes
D,Road,3,2,250,3,low,F,49,3798,Yes
A,Ship,5,5,189,3,low,F,10,5554,Yes
F,Ship,3,2,233,5,low,M,44,2010,Yes
A,Ship,3,2,187,3,medium,F,7,5334,No
F,Ship,4,5,217,3,low,F,3,5380,Yes
C,Road,3,5,189,3,low,F,61,2203,Yes
B,Ship,6,2,260,5,low,F,9,1667,Yes
F,Flight,4,5,157,4,medium,F,12,1038,Yes
F,Ship,3,5,176,2,medium,F,8,5597,Yes
C,Flight,3,3,175,2,medium,M,2,4814,No
A,Flight,3,4,201,3,medium,M,10,4032,Yes
C,Ship,5,3,156,3,low,F,6,5231,Yes
F,Flight,3,2,169,2,medium,F,19,1922,Yes
B,Ship,4,4,196,3,low,F,11,3244,Yes
F,Ship,5,1,180,2,low,M,35,1204,Yes
A,Ship,4,4,258,5,low,M,7,1261,Yes
F,Ship,4,4,127,4,high,M,54,1239,Yes
F,Ship,5,1,256,7,low,F,50,3837,Yes
D,Ship,3,2,144,10,high,F,3,5000,No
D,Ship,3,3,187,6,low,F,2,4549,No
B,Flight,5,1,261,5,low,F,10,1713,No
D,Ship,4,3,180,3,medium,M,5,4038,Yes
C,Road,3,2,262,2,low,F,26,2370,Yes
A,Road,5,4,256,3,low,F,43,3658,Yes
D,Ship,5,5,189,5,low,M,3,5254,Yes
B,Flight,6,4,289,4,high,F,4,1822,No
B,Flight,6,4,247,4,medium,M,2,1858,Yes
A,Ship,4,2,252,3,medium,F,43,3273,Yes
F,Flight,5,1,282,5,low,M,6,5182,Yes
F,Ship,4,1,229,3,medium,F,20,2891,Yes
F,Ship,5,5,247,10,medium,F,61,2206,Yes
F,Road,4,3,217,6,medium,F,6,1552,No
F,Ship,4,3,175,3,low,F,9,4840,Yes
D,Road,5,2,157,2,low,M,58,1654,Yes
F,Ship,4,3,253,5,low,M,6,1367,Yes
D,Ship,5,2,208,8,medium,M,5,4751,No
B,Flight,4,2,272,2,low,M,1,5703,Yes
D,Ship,4,5,178,3,low,F,48,1819,Yes
F,Ship,6,5,301,5,low,M,8,1443,No
C,Ship,5,5,248,3,medium,F,9,3873,Yes
C,Flight,5,3,256,2,low,M,3,4456,No
C,Ship,5,1,219,5,low,M,8,1419,Yes
C,Flight,5,1,287,4,low,F,4,1579,No
F,Ship,3,1,183,2,medium,F,10,4598,No
B,Road,4,1,147,2,low,M,8,4600,Yes
F,Flight,3,3,214,2,medium,F,9,4185,No
F,Ship,5,4,173,4,high,F,8,5284,Yes
A,Road,5,2,249,5,medium,M,6,1298,No
C,Ship,3,4,188,4,low,F,6,5016,No
A,Ship,4,1,151,3,low,F,4,5610,Yes
F,Ship,4,4,261,3,high,M,9,5515,No
C,Ship,4,2,174,3,low,M,9,1682,Yes
C,Ship,4,4,145,3,high,M,2,5665,No
A,Ship,3,2,223,2,low,M,64,3595,Yes
F,Ship,5,3,253,5,low,M,6,1028,No
F,Flight,4,3,132,4,medium,M,10,1767,Yes
B,Ship,4,4,223,3,medium,F,51,3895,Yes
D,Flight,3,1,180,3,low,F,29,1414,Yes
B,Road,2,5,127,3,medium,F,3,5964,No
F,Ship,7,2,295,4,low,F,10,1587,No
D,Ship,4,2,142,3,medium,F,3,4644,No
B,Ship,5,4,182,5,medium,F,23,3398,Yes
A,Ship,4,1,191,2,low,F,4,5851,Yes
B,Ship,3,5,274,3,low,F,3,5156,No
F,Ship,3,3,179,3,medium,F,12,1125,Yes
A,Ship,5,2,242,5,medium,F,1,1004,Yes
F,Ship,3,3,224,3,medium,F,5,4214,Yes
B,Ship,3,3,157,3,medium,M,10,4877,No
C,Flight,4,1,227,3,medium,M,54,3043,Yes
D,Road,2,3,215,2,medium,F,3,5052,Yes
F,Ship,4,3,250,6,medium,M,7,5115,Yes
C,Ship,3,1,202,3,medium,F,9,4322,No
A,Ship,4,5,139,3,low,F,3,5824,Yes
A,Ship,4,4,252,3,medium,M,1,5676,Yes
F,Ship,4,4,268,3,low,F,9,4118,Yes
B,Flight,4,3,226,3,medium,M,10,5305,No
B,Ship,2,1,228,2,low,F,2,5435,No
C,Ship,5,1,241,2,medium,F,3,5391,Yes
F,Ship,3,3,155,3,low,F,3,5768,No
F,Ship,4,5,170,3,low,F,9,1138,Yes
C,Flight,3,3,189,4,medium,F,51,2208,Yes
F,Ship,3,3,138,6,medium,M,49,1078,Yes
B,Ship,3,1,191,5,low,F,9,5196,Yes
B,Ship,2,3,187,2,medium,F,10,5957,No
C,Ship,5,2,227,5,low,F,3,1242,Yes
D,Ship,4,3,170,2,low,M,3,4587,Yes
F,Flight,2,3,223,3,low,F,9,5653,No
A,Ship,3,5,190,10,medium,M,32,2931,Yes
F,Flight,2,5,168,2,low,F,1,4831,No
F,Ship,4,2,252,4,low,F,3,4956,Yes
F,Ship,2,4,245,2,medium,F,3,5850,Yes
A,Ship,5,2,158,3,medium,M,16,1499,Yes
F,Flight,5,4,151,3,low,F,4,5522,No
F,Ship,3,3,226,3,low,M,4,5048,No
C,Road,3,1,254,4,medium,M,9,4571,No
D,Ship,4,1,167,4,high,M,7,5264,No
D,Ship,5,5,260,5,low,F,6,1860,No
F,Ship,5,3,245,5,low,F,2,1937,No
A,Ship,3,2,173,3,low,F,15,1992,Yes
A,Ship,4,4,263,4,medium,M,7,4041,Yes
F,Ship,3,1,185,2,medium,M,8,5430,Yes
C,Road,6,1,308,4,low,F,7,1260,Yes
C,Ship,4,2,245,2,low,M,8,5871,Yes
F,Road,4,1,243,3,high,F,9,4277,No
C,Ship,5,2,272,3,high,M,5,4972,No
F,Ship,4,2,266,2,low,F,8,5516,No
C,Ship,5,4,252,5,low,F,10,1015,Yes
B,Road,4,3,190,10,low,M,34,3935,Yes
B,Road,6,5,154,2,high,M,7,4359,Yes
C,Ship,4,3,191,3,medium,F,6,4563,No
F,Flight,4,4,258,2,medium,F,5,4363,Yes
B,Road,3,2,180,2,low,M,53,1853,Yes
A,Ship,4,3,167,2,medium,F,2,5544,No
F,Ship,6,4,255,4,low,F,3,1569,Yes
D,Ship,3,5,228,4,low,F,7,4068,Yes
D,Ship,5,2,139,4,low,F,9,5070,Yes
C,Ship,2,5,175,5,low,F,8,4269,No
A,Ship,6,5,298,4,medium,F,5,1804,No
F,Road,4,3,209,3,medium,M,7,4104,Yes
B,Ship,3,5,154,10,high,F,10,5282,Yes
F,Flight,4,5,220,10,medium,M,8,4100,Yes
F,Ship,4,3,140,3,low,M,1,4453,No
A,Flight,3,4,186,2,low,F,4,4585,No
F,Ship,3,5,147,2,medium,M,6,4350,No
A,Ship,3,1,199,3,medium,F,8,5557,Yes
F,Ship,4,3,150,2,medium,M,31,1588,Yes
A,Road,2,4,198,3,low,M,37,2555,Yes
F,Ship,3,1,174,2,low,M,44,1556,Yes
F,Ship,5,4,219,2,medium,F,5,4919,Yes
A,Ship,3,3,269,3,medium,M,5,4197,Yes
F,Ship,2,2,160,6,medium,F,9,4972,Yes
F,Ship,4,4,239,3,medium,M,6,5632,No
A,Flight,5,1,222,3,high,M,21,2351,Yes
B,Ship,4,1,253,4,low,F,1,5621,No
D,Ship,3,3,245,2,medium,F,16,2577,Yes
F,Ship,4,3,252,3,medium,F,10,5802,Yes
A,Flight,2,5,271,3,low,M,4,5775,No
F,Road,4,1,226,5,low,M,9,1530,No
F,Ship,5,2,248,5,low,M,4,1284,Yes
C,Ship,3,5,198,4,low,F,10,4829,No
B,Ship,4,3,165,2,low,M,2,5210,No
D,Ship,4,4,169,4,medium,F,8,5493,No
A,Ship,5,4,187,2,medium,F,10,3549,Yes
B,Road,4,5,213,3,medium,F,7,4114,No
C,Ship,6,1,286,4,medium,M,10,1177,Yes
F,Flight,5,2,244,6,low,F,7,1315,No
D,Flight,5,3,270,5,medium,F,7,1303,Yes
A,Road,3,1,146,5,low,M,10,1737,No
C,Ship,3,2,262,7,high,M,5,5985,Yes
D,Road,3,5,243,2,medium,M,42,3421,Yes
F,Ship,4,3,259,5,low,M,6,1867,Yes
A,Ship,4,3,221,2,low,F,6,4114,Yes
B,Ship,3,1,145,2,high,M,25,1851,Yes
B,Ship,2,2,133,3,low,M,5,1268,Yes
A,Flight,4,4,137,4,medium,F,5,5095,No
F,Ship,5,3,237,4,low,F,8,5432,No
A,Ship,3,1,250,2,low,F,5,4232,No
F,Flight,5,1,240,3,high,M,10,5277,No
B,Ship,3,1,171,3,medium,M,28,1075,Yes
D,Ship,5,5,187,3,medium,F,5,4613,No
C,Ship,3,5,270,3,medium,M,7,5477,Yes
A,Flight,6,5,143,5,high,M,9,4060,No
D,Ship,5,3,282,3,medium,M,5,4644,Yes
F,Ship,6,1,113,2,medium,F,7,5234,Yes
F,Ship,4,3,157,7,low,F,3,4878,Yes
C,Road,4,3,135,2,high,M,24,1292,Yes
C,Ship,3,4,212,3,medium,F,3,4811,No
F,Ship,3,5,220,4,low,F,5,5677,No
B,Ship,4,5,172,4,medium,M,8,5900,Yes
D,Road,4,3,227,2,low,M,3,4375,No
C,Flight,5,3,234,2,low,F,55,3308,Yes
B,Ship,7,2,248,4,medium,F,1,1163,Yes
F,Road,6,1,250,2,medium,M,4,4016,No
C,Ship,3,3,176,3,low,F,10,5284,Yes
A,Ship,5,5,198,2,medium,M,9,4526,No
A,Ship,2,1,202,2,medium,F,5,4456,No
F,Road,4,4,224,3,low,M,29,3623,Yes
F,Flight,4,3,197,5,low,F,8,4209,Yes
A,Ship,6,5,293,5,low,F,1,1278,No
A,Ship,3,3,154,4,high,F,2,4921,Yes
A,Flight,4,4,275,5,medium,M,7,1562,Yes
F,Ship,5,1,234,3,low,F,4,5033,No
F,Ship,4,4,135,3,medium,M,2,5016,No
C,Flight,3,3,207,3,high,M,1,5632,Yes
A,Road,3,1,169,3,high,M,24,1740,Yes
C,Ship,6,3,298,4,low,F,9,1515,Yes
B,Road,4,4,227,3,medium,F,1,2761,Yes
C,Road,3,1,223,3,low,M,8,5318,No
F,Ship,4,4,199,2,low,M,9,3075,Yes
F,Road,3,5,268,2,medium,M,5,1707,No
C,Ship,3,5,150,3,high,M,6,4565,No
D,Ship,3,2,189,2,low,M,6,4488,Yes
C,Ship,3,4,166,3,medium,F,8,4369,Yes
C,Ship,5,4,223,3,low,M,8,4310,Yes
A,Ship,5,3,221,5,low,F,8,1109,No
B,Flight,4,2,239,2,low,F,10,4028,No
C,Ship,3,1,268,4,low,M,10,5226,Yes
B,Ship,5,5,266,3,medium,F,53,3089,Yes
A,Ship,6,4,197,5,medium,M,4,5889,Yes
B,Ship,5,5,167,2,medium,M,2,5908,No
F,Ship,3,1,206,2,medium,F,56,2069,Yes
B,Ship,4,3,171,5,low,F,2,5242,Yes
F,Ship,4,4,139,3,medium,M,2,5135,No
D,Ship,4,1,248,2,medium,M,4,5783,No
F,Ship,5,3,148,3,medium,F,48,1099,Yes
F,Ship,5,2,243,3,high,M,2,5734,Yes
D,Ship,4,1,240,4,low,M,9,4471,Yes
D,Flight,4,2,181,2,low,F,28,2815,Yes
D,Ship,3,3,231,2,high,F,8,5021,No
D,Ship,3,5,196,3,high,F,4,4569,No
D,Road,3,4,151,4,medium,F,1,4587,Yes
B,Ship,2,1,255,3,low,M,19,1551,Yes
F,Road,5,5,192,3,medium,F,37,2197,Yes
B,Ship,4,2,240,5,medium,M,7,1711,Yes
C,Flight,3,2,251,2,medium,F,4,4074,No
F,Flight,4,1,164,3,high,F,1,5492,No
D,Ship,5,5,203,5,medium,M,1,5356,Yes
C,Ship,3,3,133,6,low,F,10,1686,Yes
F,Ship,4,2,170,2,low,M,3,4299,No
C,Ship,5,3,210,6,low,M,6,4203,Yes
F,Ship,5,4,263,5,low,M,5,1181,No
D,Flight,3,3,203,3,medium,M,29,3261,Yes
F,Ship,5,2,151,4,low,M,12,1145,Yes
D,Ship,6,5,278,5,medium,F,2,4361,Yes
B,Ship,3,3,209,3,medium,F,5,5831,No
F,Ship,4,1,271,2,medium,F,8,2401,Yes
F,Ship,3,3,200,3,high,F,2,4777,Yes
C,Ship,6,5,206,6,low,M,2,4014,Yes
F,Ship,5,2,183,5,high,F,8,4820,No
D,Ship,4,2,225,2,medium,M,7,5241,Yes
F,Road,4,4,183,2,low,F,7,4572,Yes
F,Ship,4,4,172,4,medium,M,7,4834,No
F,Ship,3,5,146,3,medium,F,7,4126,No
D,Ship,3,5,252,2,high,M,4,4098,Yes
F,Ship,3,2,279,3,medium,F,6,4560,No
C,Flight,4,3,262,4,high,F,2,4783,Yes
F,Road,6,1,174,10,medium,F,1,5784,Yes
D,Ship,6,3,278,4,low,F,9,1368,No
F,Ship,7,3,244,4,medium,M,10,1629,No
B,Ship,4,4,273,2,medium,M,6,5676,Yes
D,Road,4,1,204,8,low,F,7,5359,No
F,Road,6,5,247,4,medium,M,7,1461,Yes
D,Ship,4,1,132,4,medium,F,10,1343,Yes
F,Ship,5,5,227,4,low,M,53,2624,Yes
A,Ship,3,4,137,3,medium,F,17,1212,Yes
D,Ship,3,5,152,3,low,M,43,1282,Yes
D,Ship,4,5,263,5,low,M,9,5731,Yes
C,Ship,2,3,219,4,low,F,9,4086,No
A,Road,4,4,153,3,low,F,27,1613,Yes
F,Flight,3,1,109,6,low,F,5,4374,Yes
C,Ship,5,4,223,3,low,M,7,4671,Yes
D,Ship,3,1,217,3,low,F,1,4177,Yes
F,Ship,7,5,306,4,medium,F,2,1281,No
D,Ship,2,1,147,3,low,M,3,4120,Yes
D,Flight,3,4,188,4,low,F,49,3067,Yes
F,Road,4,3,268,3,medium,F,23,2996,Yes
B,Ship,5,2,249,5,low,F,8,1018,Yes
B,Road,5,1,218,5,medium,M,8,1651,Yes
A,Ship,2,1,255,2,medium,M,9,5936,Yes
A,Ship,6,4,265,4,low,F,9,1511,No
F,Ship,3,1,154,2,medium,F,56,1300,Yes
F,Ship,5,5,270,3,low,F,9,5807,Yes
D,Ship,4,1,196,2,low,M,3,4752,No
A,Ship,5,3,268,3,medium,F,9,4152,Yes
A,Ship,4,3,213,4,medium,M,8,4220,No
D,Ship,6,2,306,4,low,F,1,1815,Yes
F,Road,3,1,155,3,medium,F,47,1193,Yes
B,Ship,4,5,219,3,medium,M,8,4605,No
D,Ship,3,3,242,3,low,F,51,3935,Yes
F,Ship,3,3,113,3,low,F,43,1518,Yes
D,Ship,3,2,160,3,medium,F,6,4808,Yes
D,Ship,6,4,112,4,medium,F,9,4005,Yes
F,Ship,4,1,165,3,medium,M,51,1293,Yes
D,Ship,3,3,135,3,low,F,19,1366,Yes
F,Ship,4,2,248,3,low,M,2,5028,Yes
C,Ship,4,1,257,4,low,M,5,5875,Yes
A,Road,4,2,245,2,low,M,1,5978,No
F,Ship,4,3,245,3,low,M,8,4826,No
B,Ship,5,1,227,3,low,F,14,2589,Yes
D,Flight,6,1,173,3,medium,F,2,4892,No
B,Ship,3,3,201,10,high,M,10,5281,No
C,Flight,5,2,159,3,low,M,5,4930,No
B,Ship,6,4,271,3,low,F,7,5192,Yes
A,Ship,5,2,260,4,medium,F,3,5890,No
D,Ship,5,1,198,5,medium,F,49,3187,Yes
C,Road,4,4,205,3,low,M,6,4254,No
D,Road,2,3,128,2,medium,F,53,1530,Yes
C,Ship,3,2,243,4,medium,M,4,4410,Yes
F,Ship,2,4,114,4,low,M,9,4452,Yes
C,Ship,4,3,142,2,medium,F,63,1615,Yes
F,Flight,7,5,254,4,medium,F,6,1014,No
B,Ship,5,5,167,3,low,M,10,5591,No
A,Flight,7,1,255,5,medium,M,10,1238,Yes
B,Ship,5,5,171,2,medium,F,22,1695,Yes
F,Ship,2,3,192,2,low,F,31,2621,Yes
F,Ship,2,1,166,3,medium,M,6,4280,No
D,Road,5,5,189,4,high,F,16,3564,Yes
D,Ship,4,2,223,5,medium,F,8,1559,Yes
F,Ship,5,3,218,5,medium,F,4,1433,No
A,Flight,5,4,121,5,high,F,4,4814,No
D,Ship,5,5,275,5,low,M,4,1646,No
A,Ship,6,5,243,3,medium,F,35,2374,Yes
D,Ship,5,1,125,4,medium,M,3,5595,No
C,Ship,3,4,210,2,medium,M,29,3142,Yes
B,Road,5,4,271,5,low,M,4,1320,No
D,Ship,4,2,272,4,low,M,3,5566,No
F,Ship,4,4,205,3,low,F,11,2255,Yes
C,Ship,4,3,158,2,low,M,46,1374,Yes
B,Ship,2,1,219,4,low,M,6,5124,No
F,Ship,4,5,268,3,low,M,17,3085,Yes
F,Flight,5,3,98,5,medium,M,44,1269,Yes
F,Ship,4,5,268,2,low,M,2,4721,Yes
A,Ship,3,4,166,2,low,F,10,5258,No
D,Ship,5,3,249,2,medium,M,3,4440,No
C,Road,3,5,109,5,low,M,27,1581,Yes
F,Ship,4,5,189,3,medium,F,3,5193,No
D,Ship,5,1,154,2,low,M,37,1671,Yes
D,Ship,5,1,143,3,medium,F,3,4907,Yes
F,Flight,4,2,197,7,medium,M,43,3730,Yes
D,Ship,6,4,244,4,medium,F,1,1179,Yes
D,Ship,5,5,234,5,medium,M,9,1812,No
B,Ship,4,3,208,2,medium,F,4,4767,Yes
B,Ship,4,3,261,3,low,F,10,2802,Yes
D,Ship,4,1,238,3,low,F,10,4172,No
F,Flight,3,4,201,3,high,M,7,4887,Yes
D,Ship,3,1,294,4,low,F,25,1498,Yes
F,Road,5,2,259,5,low,F,3,1724,Yes
F,Road,4,3,140,8,medium,M,8,4065,Yes
B,Ship,7,5,265,4,low,F,9,1393,No
D,Road,3,3,255,2,low,F,10,5632,No
F,Flight,3,1,153,2,medium,F,51,1841,Yes
F,Ship,3,2,134,3,low,M,6,4778,Yes
D,Ship,4,3,261,3,medium,F,2,4028,No
C,Ship,6,5,111,6,high,F,28,1216,Yes
B,Ship,4,1,234,2,medium,M,4,5066,Yes
D,Ship,7,4,309,4,low,M,7,1880,No
A,Ship,6,4,138,5,medium,F,15,1181,Yes
A,Ship,4,1,197,3,high,M,9,4917,No
D,Ship,5,5,140,3,high,F,7,4799,Yes
B,Ship,5,1,224,2,medium,M,4,5063,No
B,Ship,2,2,157,3,medium,F,9,4547,Yes
C,Ship,3,1,140,4,low,M,27,1184,Yes
F,Flight,6,2,243,4,low,M,4,1768,No
F,Ship,4,5,133,2,medium,M,39,1106,Yes
B,Flight,4,4,229,2,medium,M,45,3776,Yes
C,Ship,3,1,211,3,medium,M,1,4889,Yes
B,Ship,2,5,142,3,high,M,10,5174,No
C,Ship,5,2,182,4,medium,F,9,5159,No
C,Ship,5,1,261,3,low,M,25,3494,Yes
C,Ship,2,1,142,3,medium,F,8,6064,Yes
B,Ship,4,4,146,3,low,M,3,5225,Yes
D,Flight,4,4,132,3,medium,F,5,4613,No
D,Road,3,3,188,5,low,F,6,5713,No
F,Ship,5,1,229,5,low,F,10,1040,Yes
F,Flight,4,3,205,2,medium,M,10,4178,Yes
D,Ship,3,1,226,2,low,M,4,4804,No
F,Ship,3,5,228,4,medium,M,57,2243,Yes
B,Ship,3,1,165,3,medium,M,61,1313,Yes
F,Ship,4,1,261,4,medium,F,10,4632,No
D,Ship,4,2,222,3,low,F,3,5130,No
C,Ship,3,5,139,2,low,F,7,4449,Yes
C,Flight,5,5,268,3,medium,M,2,4459,Yes
C,Ship,3,5,181,3,medium,M,22,3575,Yes
B,Ship,4,3,218,2,medium,M,6,4414,Yes
D,Ship,3,1,144,3,medium,F,6,4163,No
A,Ship,5,3,181,4,medium,F,32,3893,Yes
C,Ship,3,1,166,3,medium,M,4,4716,No
D,Ship,4,2,204,2,low,F,1,4533,No
B,Ship,4,4,209,8,medium,F,46,3345,Yes
A,Road,6,4,201,2,low,M,4,5916,Yes
F,Ship,3,5,163,2,low,F,49,1034,Yes
D,Ship,4,1,133,4,low,F,10,5258,No
A,Ship,2,3,139,3,low,M,9,1471,Yes
F,Ship,4,4,253,2,medium,F,5,5624,No
C,Ship,2,2,219,2,medium,M,8,4518,No
F,Flight,4,5,236,7,medium,F,44,3808,Yes
A,Ship,3,2,138,3,low,M,49,1923,Yes
F,Flight,4,4,213,4,low,M,2,5857,Yes
B,Ship,2,4,136,3,low,M,43,1958,Yes
F,Flight,4,1,222,2,low,F,10,4714,Yes
F,Ship,4,1,222,3,medium,M,25,2582,Yes
C,Ship,4,1,240,4,low,F,7,5905,Yes
F,Ship,6,2,305,4,low,M,2,1196,No
D,Road,5,3,136,3,medium,F,13,1446,Yes
B,Ship,4,5,142,2,medium,M,10,5428,Yes
C,Flight,3,5,169,3,low,F,4,5659,No
D,Ship,2,1,219,4,low,M,7,5573,Yes
D,Ship,5,1,226,2,low,M,18,2582,Yes
F,Ship,4,5,228,2,low,M,63,3401,Yes
D,Ship,4,3,184,3,low,F,37,3436,Yes
F,Flight,5,2,217,2,medium,F,6,4120,Yes
B,Ship,7,5,289,4,low,M,9,1904,No
D,Road,5,3,243,6,low,F,1,1856,No
F,Ship,5,5,266,10,high,F,2,5890,No
F,Ship,3,4,170,7,low,M,7,4957,Yes
F,Ship,3,4,238,3,medium,F,8,5337,Yes
D,Ship,5,3,237,2,medium,M,3,5113,No
A,Ship,2,3,118,4,medium,M,7,5510,No
C,Ship,7,3,308,4,medium,M,6,1113,No
D,Ship,5,3,223,5,medium,M,10,1170,Yes
B,Ship,4,4,245,6,low,F,6,1437,Yes
F,Ship,6,1,269,6,medium,F,2,5363,No
F,Road,4,4,164,4,medium,F,1,4365,Yes
A,Ship,4,1,208,3,low,F,6,5345,Yes
F,Flight,4,5,159,2,low,M,1,5671,No
F,Road,5,1,145,3,low,M,20,1387,Yes
D,Road,3,3,183,2,low,M,6,5015,No
F,Road,6,3,297,4,medium,F,2,1520,Yes
F,Ship,7,5,282,5,low,M,7,1260,Yes
C,Ship,3,5,168,3,low,M,8,5877,No
A,Ship,3,3,265,3,medium,F,3,5986,Yes
F,Ship,5,4,225,5,low,F,6,2000,No
C,Flight,2,3,160,2,high,M,3,4409,No
F,Ship,6,5,240,4,medium,M,62,2400,Yes
D,Ship,3,5,153,4,low,F,10,5897,No
A,Ship,4,3,118,5,low,F,15,1601,Yes
B,Ship,4,1,138,2,low,M,28,1528,Yes
F,Ship,3,1,166,3,medium,M,9,4410,No
A,Ship,4,3,247,4,low,M,16,2362,Yes
B,Ship,5,2,223,5,low,M,2,1232,Yes
F,Road,3,5,199,4,low,M,7,4520,No
B,Ship,4,1,157,2,medium,F,7,4690,Yes
B,Ship,4,5,242,6,low,F,9,1858,No
F,Ship,3,4,186,2,low,M,63,3447,Yes
F,Flight,5,3,245,5,medium,M,3,1851,No
F,Ship,3,1,215,2,low,F,47,3678,Yes
F,Ship,3,3,111,3,medium,M,54,1712,Yes
C,Flight,3,2,273,3,high,M,8,5754,Yes
C,Ship,4,1,246,6,low,F,6,1335,Yes
F,Ship,3,3,204,4,high,M,9,4712,No
B,Ship,3,1,251,3,medium,F,4,5291,No
B,Ship,5,3,204,3,high,F,1,4037,Yes
F,Ship,6,1,141,3,low,F,2,5144,No
D,Ship,5,3,270,2,low,F,7,5248,Yes
D,Ship,5,4,177,2,low,M,2,5618,Yes
F,Ship,4,1,240,4,low,M,10,5965,Yes
F,Flight,6,4,266,4,low,M,9,1253,Yes
F,Ship,6,5,240,3,low,M,4,5219,Yes
D,Ship,4,5,244,3,low,M,6,1360,Yes
F,Ship,4,5,185,3,medium,M,17,2824,Yes
A,Flight,4,3,169,6,medium,M,3,5957,Yes
A,Ship,4,1,263,2,low,F,5,4010,Yes
C,Ship,4,4,249,3,medium,F,1,5743,No
A,Ship,6,2,130,5,low,M,3,5654,No
F,Ship,5,3,201,6,low,F,3,4025,Yes
F,Flight,3,4,166,4,low,F,1,5533,Yes
F,Ship,4,5,190,2,low,M,36,3548,Yes
B,Ship,2,3,134,10,high,F,1,5632,No
A,Road,5,2,261,8,medium,F,1,3308,Yes
D,Ship,2,1,148,2,low,M,10,5939,Yes
C,Flight,3,5,229,6,medium,M,22,2717,Yes
B,Road,2,4,269,4,low,M,2,4267,Yes
D,Ship,3,1,247,4,low,F,8,5376,Yes
D,Ship,3,3,162,3,low,M,3,1693,Yes
A,Ship,4,2,149,3,medium,M,26,1863,Yes
F,Ship,4,4,250,3,low,M,10,4505,No
F,Flight,3,5,125,2,low,M,5,4933,Yes
A,Road,4,3,143,4,medium,F,2,4919,No
F,Ship,4,4,145,2,medium,M,9,5070,No
C,Ship,4,4,172,3,medium,F,1,4201,No
A,Road,4,1,241,3,medium,F,61,3812,Yes
C,Flight,2,4,285,3,high,M,6,4427,Yes
A,Ship,4,2,165,2,high,M,11,1596,Yes
F,Ship,5,5,211,3,medium,F,7,5983,Yes
C,Ship,3,3,255,3,low,M,4,4628,Yes
B,Ship,5,2,195,6,high,M,5,5339,Yes
B,Ship,3,3,272,3,low,M,2,4059,Yes
F,Ship,5,3,266,2,low,F,61,2118,Yes
A,Road,3,4,163,3,medium,M,5,5088,Yes
A,Ship,2,2,180,3,low,M,33,1217,Yes
B,Ship,4,1,272,2,medium,F,5,5252,No
A,Ship,4,5,188,3,low,F,13,2409,Yes
B,Flight,4,5,142,3,medium,M,2,5692,No
F,Road,4,1,145,2,low,F,2,5209,No
A,Ship,7,3,310,4,medium,M,8,1860,Yes
F,Ship,3,1,182,2,low,F,3,5510,Yes
C,Flight,4,3,241,2,medium,F,4,5942,Yes
D,Ship,4,4,168,3,low,F,35,1434,Yes
A,Ship,3,1,247,2,low,M,7,5557,No
A,Flight,3,5,192,3,low,F,7,4056,Yes
C,Ship,2,4,152,3,low,M,55,1498,Yes
F,Ship,2,1,184,2,high,F,3,4331,No
D,Ship,4,4,135,2,low,F,4,5112,No
B,Road,4,5,164,3,high,M,7,4657,No
D,Ship,3,4,257,2,high,M,15,3981,Yes
F,Road,5,4,263,2,medium,F,5,4595,No
F,Flight,4,5,229,4,medium,F,6,4157,No
F,Road,4,3,152,4,medium,F,4,5809,No
A,Road,3,1,149,3,medium,F,9,5952,Yes
D,Flight,3,4,207,10,low,F,6,5856,No
F,Ship,4,1,249,10,medium,M,7,5580,Yes
F,Ship,6,3,251,4,low,M,10,4889,Yes
D,Flight,4,5,184,4,medium,F,3,5430,Yes
F,Road,4,3,250,3,low,M,10,4316,No
F,Ship,5,3,242,5,low,F,6,1681,No
A,Ship,7,5,301,4,low,F,7,1727,No
C,Road,3,1,242,10,high,M,9,5151,Yes
D,Ship,5,1,243,5,low,M,3,1066,Yes
B,Ship,4,1,155,3,low,F,4,4397,No
C,Road,4,4,203,5,low,M,36,3912,Yes
D,Ship,3,2,177,4,low,F,3,5527,No
B,Flight,3,5,167,2,low,M,5,5042,Yes
C,Flight,5,5,131,5,low,F,1,5299,Yes
F,Ship,4,4,177,7,low,F,3,5646,Yes
F,Flight,2,4,233,4,medium,F,4,5408,No
D,Flight,4,3,235,3,low,F,4,5289,Yes
F,Ship,4,4,163,2,low,F,41,1634,Yes
B,Ship,4,4,251,2,medium,F,6,4376,No
A,Ship,4,2,162,2,low,M,16,1014,Yes
D,Flight,4,3,153,4,low,M,36,1171,Yes
A,Ship,3,3,177,4,medium,F,4,1560,Yes
A,Ship,3,1,146,2,low,F,54,1528,Yes
C,Ship,3,1,145,2,low,F,34,1773,Yes
F,Ship,4,3,158,3,medium,F,27,1207,Yes
